RepRisk_ID,name,headquarter_country,code
162356,Juewei Food Co Ltd,China,603517.SH
1625,Henan Rebecca Hair Products Co,China,600439.SH
162558,Jilin Expressway Co Ltd,China,601518.SH
16256,"Guangdong Hongda Blasting Co., Ltd.",China,002683.SZ
162721,China Oceanwide Holdings Group Co Ltd (formerly Hutchison Harbour Ring Ltd),China,
163307,Jiangnan Group Ltd,China,1366.HKG
16346,Sound Global Ltd (formerly Epure International Ltd),China,SGXXF.OTCMKTS
1635,United Laboratories International Holdings Ltd,China,3933.HKG
16374,Advanced Battery Technologies Inc,China,
16401,BYD Co Ltd,China,0285.HKG
16418,China Water Group Inc,China,0855.HKG
164285,Jiangsu Guoxin Corp Ltd (formerly known as Sainty Marine Corp Ltd),China,002608.SZ
164612,Linewell Software Co Ltd,China,603636.SH
166568,Jiangsu Nantong Sanjian Construction Group Co Ltd (also known as Jiangsu Nantong No 3 Construction Group Co Ltd),China,
166576,Jiangsu Wujin Stainless Steel Pipe Group Co Ltd,China,603878.SH
166897,China National Nuclear Power Cor Ltd (CNNPC),China,
166915,Jiangsu Broadcasting Cable Information Network Co Ltd,China,
16727,China Shipbuilding Industry Corp (CSIC),China,601989.SH
16728,Wuhan Huazhong Numerical Control Co Ltd,China,300161.SZ
167636,Shandong Buchang Pharmaceuticals Co Ltd,China,603858.SH
167674,Shanxi C&Y Pharmaceutical Group Co Ltd (Challenge & Young),China,300254.SZ
167675,Hunan Fangsheng Pharmaceutical Co Ltd,China,603998.SH
167780,China Huarong Asset Management Co Ltd,China,2799.HKG
167837,Wuzhou International Holdings Ltd,China,
169164,Huatai Securities Co Ltd,China,6886.HKG
16927,CNFC Overseas Fishery Co Ltd,China,000798.SZ
169296,Yunnan Water Investment Co Ltd,China,6839.HKG
170083,Jinke Property Group Co Ltd,China,000656.SZ
170085,Chinese Universe Publishing and Media Group Co Ltd (formerly Jianxi Xinxin Industrial Co Ltd),China,600373.SH
170113,Harbin Electric Co Ltd (formerly Harbin Power Equipment Co Ltd),China,1133.HKG
170119,Wuchan Zhongda Group Co Ltd (formerly Zhejiang Zhongda Group Co Ltd; Zhejiang Material Industrial Zhongda Yuantong Group Co Ltd),China,600704.SH
170121,SDIC Power Holdings Co Ltd (previously SDIC Huajing Power Holdings Co),China,600886.SH
170147,New Hope Liuhe Co Ltd (formerly Sichuan New Hope Agribusiness Co Ltd),China,000876.SZ
170160,Besttone Holding Co Ltd (formerly China Satcom Guomai Communications),China,600640.SH
170161,Qinghai Salt Lake Industry Co Ltd (formerly Qinghai Salt Lake Potash Co),China,
170724,Xiabuxiabu Catering Management China Holdings Co Ltd,China,0520.HKG
170868,Beijing Tianli Mobile Service Integration Inc,China,300399.SZ
170916,Haichang Ocean Park Holdings Ltd,China,0HO.FRA
171014,Elefirst Science & Technology Co Ltd,China,300356.SZ
171032,Joy City Property Ltd (formerly COFCO Land Holdings Ltd),China,0207.HKG
171180,Zhejiang Red Dragonfly Footwear Co Ltd,China,603116.SH
17157,Sanlian Commercial Co Ltd,China,
17249,Sinopec Oilfield Equipment Corp (formerly Kingdream PLC),China,000852.SZ
1727,Agricultural Bank of China Ltd (ABC),China,1288.HKG
173866,Tuniu Corp,China,TOUR.NASDAQ
174258,Oppein Home Group Inc,China,603833.SH
175616,Dongxing Securities Co Ltd,China,601198.SH
175875,Hithink RoyalFlush Information Network Co Ltd (formerly Hexin Flush Information Network Co Ltd),China,300033.SZ
1759,China Yangtze Power Co Ltd,China,600900.SH
1760,Zhejiang Jingxin Pharmaceutical Co Ltd,China,002020.SZ
176310,Jupai Holdings Ltd,China,JP.NYSE
1765,ZTE Corp,China,0763.HKG
17658,Rongfeng Holding Group Co Ltd,China,000668.SZ
176580,Foshan Nanhua Instruments Co Ltd,China,
17662,Sunyoung Properties Co Ltd,China,
17716,Oriental Energy Co Ltd,China,002221.SZ
177275,Lens Technology Co Ltd,China,300433.SZ
179129,China Ping An Life Insurance Co Ltd (Ping An Life),China,
1792,Zijin Mining Group Co Ltd,China,2899.HKG
18004,Sinopec Shandong Taishan Petroleum Co Ltd,China,000554.SZ
18008,Wintime Energy Co Ltd,China,600157.SH
181275,Hylink Digital Solution Co Ltd (Hylink Group; formerly known as Beijing Hylink Advertising Co Ltd),China,603825.SH
181304,Qunar Cayman Islands Ltd (Qunar.com),China,
181447,Guangzhou Boji Medicinal and Biological Technology Co Ltd,China,300404.SZ
181618,China Development Bank Financial Leasing Co Ltd (CDB Financial Leasing; formerly Shenzhen Financial Leasing),China,1606.HKG
181960,Chengdu Huaze Cobalt & Nickel Material Co Ltd (formerly known as Chengdu Unionfriend Network Co Ltd),China,
182594,Qinghai Huaxing Investment Group Co Ltd,China,
182714,Zhejiang Yueling Co Ltd,China,002725.SZ
182914,Zhongman Petroleum and Natural Gas Group,China,603619.SH
182982,Meitu Inc,China,1357.HKG
183011,First Capital Securities Co Ltd,China,002797.SZ
183190,Hainan Mining Co Ltd,China,601969.SH
18354,Shandong Molong Petroleum Machinery Co Ltd,China,002490.SZ
